module_id,module_family,net_cagr,maximum_drawdown,calmar_mar,ulcer_index,maximum_time_underwater_calendar_days,percentage_positive_rolling_12m,net_excess_vs_global,net_excess_vs_equal_pool,warning,passes_minus_25pct_active_warning,reaches_preferred_minus_15pct
A4_BASELINE,BASELINE,0.24861332935426628,-0.3089820359281441,0.8046206589566359,0.12310704207255986,524,0.7916666666666666,0.13344878114135272,0.13871368656975824,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EARLY_A_PRIMARY_WEEKLY,EARLY_PARTICIPATION,-0.0030573790199718,-0.550531505781933,-0.0055535041825251,0.3144730363908502,1535,0.3333333333333333,-0.1182219272328853,-0.1129570218044798,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EARLY_B_PRIMARY_WEEKLY,EARLY_PARTICIPATION,0.2359673745154857,-0.3497523493294754,0.6746698770369048,0.1264940990020143,518,0.8333333333333334,0.1208028263025722,0.1260677317309777,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EARLY_C_PRIMARY_WEEKLY,EARLY_PARTICIPATION,0.0533513192135732,-0.4827455377413959,0.1105164419813928,0.2679805762974346,1042,0.5,-0.0618132289993402,-0.0565483235709347,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EXIT_A_50EMA,TREND_EXIT,0.0443594259373372,-0.4765691975871434,0.0930807659452766,0.2838109180917306,1323,0.3541666666666667,-0.0708051222755763,-0.0655402168471708,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EXIT_B_21_WARNING_50_FAILURE,TREND_EXIT,0.0407873099436215,-0.4671224640869517,0.0873160960549079,0.276134637528773,1327,0.3541666666666667,-0.0743772382692919,-0.0691123328408864,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EXIT_C_ABSOLUTE_AND_RELATIVE,TREND_EXIT,0.0882555027051645,-0.3604454719555749,0.2448511899076987,0.2035960799047228,953,0.5625,-0.0269090455077489,-0.0216441400793434,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
EXIT_D_RELATIVE_ONLY,TREND_EXIT,0.1856494140321187,-0.3497510840687048,0.5308043991527699,0.1428932931306805,524,0.7291666666666666,0.0704848658192052,0.0757497712476107,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
VOL_TARGET_0_1,VOLATILITY_SIZING,0.0956955734875717,-0.1100345515842624,0.8696865858020043,0.0406651696220051,434,0.8958333333333334,-0.0194689747253418,-0.0142040692969362,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,True
VOL_TARGET_0_125,VOLATILITY_SIZING,0.1091721176665776,-0.1375732973138876,0.7935560155797544,0.0534032406071173,440,0.8541666666666666,-0.0059924305463359,-0.0007275251179303,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,True
VOL_TARGET_0_15,VOLATILITY_SIZING,0.1221720981597507,-0.164936701890569,0.7407211176127949,0.0663379730238544,443,0.8125,0.0070075499468371,0.0122724553752426,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,False
CORE_ACTIVE_25,CORE_SATELLITE,0.1569623372577471,-0.1817098007592793,0.8638077671202968,0.0456063487069824,194,0.9583333333333334,0.0417977890448335,0.047062694473239,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,False
CORE_ACTIVE_50,CORE_SATELLITE,0.1936065167898815,-0.1850056745498567,1.0464896131480927,0.0621387157766195,198,0.9166666666666666,0.0784419685769679,0.0837068740053734,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,False
CORE_ACTIVE_75,CORE_SATELLITE,0.2242061919334768,-0.2462486993125936,0.9104868068718788,0.0894925318453795,509,0.8333333333333334,0.1090416437205632,0.1143065491489687,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",True,False
CORE_ACTIVE_100,CORE_SATELLITE,0.2486133293542662,-0.3089820359281441,0.8046206589566359,0.1231070420725598,524,0.7916666666666666,0.1334487811413527,0.1387136865697582,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",False,False
