drawdown_episode_id,primary_root_cause,contributing_causes,drawdown_magnitude,flag_market_wide_shock,flag_right_tail_giveback,flag_late_monthly_exit,flag_absolute_trend_failure,flag_leadership_reversal,flag_volatility_expansion,flag_wrong_leader_selection,warning,record_type,material_drawdown_count,aggregate_drawdown_magnitude,percentage_of_material_drawdowns_by_count,percentage_of_total_drawdown_magnitude
DD_01,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL;WRONG_LEADER_SELECTION,0.057641798406459555,False,False,False,False,True,False,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_02,ABSOLUTE_TREND_FAILURE,MARKET_WIDE_SHOCK;LATE_MONTHLY_EXIT;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL,0.2310841021031973,True,False,True,True,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_03,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL,0.08251306355571764,False,False,False,False,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_04,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL,0.28736122971818967,False,True,False,True,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_05,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.2197102346692733,False,True,False,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_06,ABSOLUTE_TREND_FAILURE,ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL,0.11913008031905792,False,False,False,True,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_07,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.10042140584064019,False,False,False,False,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_08,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;LATE_MONTHLY_EXIT;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.2849648123705244,False,True,True,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_09,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL,0.05471636952998382,False,False,False,False,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_10,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL,0.06700920573752944,False,False,False,False,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_11,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.2086634970945589,False,True,False,False,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_12,ABSOLUTE_TREND_FAILURE,ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.07692307692307676,False,False,False,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_13,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.20875135984527982,False,True,False,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_14,RIGHT_TAIL_GIVEBACK,MARKET_WIDE_SHOCK;RIGHT_TAIL_GIVEBACK;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.308982035928144,True,True,False,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_15,LEADERSHIP_REVERSAL,LEADERSHIP_REVERSAL,0.09483738912895168,False,False,False,False,True,False,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
DD_16,RIGHT_TAIL_GIVEBACK,RIGHT_TAIL_GIVEBACK;ABSOLUTE_TREND_FAILURE;LEADERSHIP_REVERSAL;VOLATILITY_EXPANSION,0.23802951481048917,False,True,False,True,True,True,False,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED",EPISODE_DETAIL,,,,
,ABSOLUTE_TREND_FAILURE,,,,,,,,,,,PRIMARY_CAUSE_SUMMARY,3.0,0.427137259345332,0.1875,0.16174912813441494
,LEADERSHIP_REVERSAL,,,,,,,,,,,PRIMARY_CAUSE_SUMMARY,6.0,0.4571392321992823,0.375,0.17311033075784488
,RIGHT_TAIL_GIVEBACK,,,,,,,,,,,PRIMARY_CAUSE_SUMMARY,7.0,1.7564626844364593,0.4375,0.6651405411077403
