specification_id,signal_id,breadth,frequency,cash_architecture,weighting_method,full_history_net_cagr,full_history_gross_cagr,full_history_net_excess_vs_global,full_history_net_excess_vs_equal_pool,full_history_maximum_drawdown,full_history_calmar_mar,full_history_ulcer_index,full_history_annualised_volatility,full_history_sortino_zero_cash_hurdle,full_history_annual_turnover_traded_notional,full_history_trade_legs,full_history_cost_drag_cagr,full_history_average_cash_weight,full_history_percentage_time_100_cash,full_history_percentage_time_partially_invested,full_history_maximum_time_underwater_calendar_days,full_history_terminal_wealth_per_100k,full_history_drawdown_efficiency_excess_vs_pool,pre_2020_net_cagr,pre_2020_gross_cagr,pre_2020_net_excess_vs_global,pre_2020_net_excess_vs_equal_pool,pre_2020_maximum_drawdown,pre_2020_calmar_mar,pre_2020_ulcer_index,pre_2020_annualised_volatility,pre_2020_sortino_zero_cash_hurdle,pre_2020_annual_turnover_traded_notional,pre_2020_trade_legs,pre_2020_cost_drag_cagr,pre_2020_average_cash_weight,pre_2020_percentage_time_100_cash,pre_2020_percentage_time_partially_invested,pre_2020_maximum_time_underwater_calendar_days,pre_2020_terminal_wealth_per_100k,pre_2020_drawdown_efficiency_excess_vs_pool,post_2020_net_cagr,post_2020_gross_cagr,post_2020_net_excess_vs_global,post_2020_net_excess_vs_equal_pool,post_2020_maximum_drawdown,post_2020_calmar_mar,post_2020_ulcer_index,post_2020_annualised_volatility,post_2020_sortino_zero_cash_hurdle,post_2020_annual_turnover_traded_notional,post_2020_trade_legs,post_2020_cost_drag_cagr,post_2020_average_cash_weight,post_2020_percentage_time_100_cash,post_2020_percentage_time_partially_invested,post_2020_maximum_time_underwater_calendar_days,post_2020_terminal_wealth_per_100k,post_2020_drawdown_efficiency_excess_vs_pool,latest_5y_net_cagr,latest_5y_gross_cagr,latest_5y_net_excess_vs_global,latest_5y_net_excess_vs_equal_pool,latest_5y_maximum_drawdown,latest_5y_calmar_mar,latest_5y_ulcer_index,latest_5y_annualised_volatility,latest_5y_sortino_zero_cash_hurdle,latest_5y_annual_turnover_traded_notional,latest_5y_trade_legs,latest_5y_cost_drag_cagr,latest_5y_average_cash_weight,latest_5y_percentage_time_100_cash,latest_5y_percentage_time_partially_invested,latest_5y_maximum_time_underwater_calendar_days,latest_5y_terminal_wealth_per_100k,latest_5y_drawdown_efficiency_excess_vs_pool,latest_3y_net_cagr,latest_3y_gross_cagr,latest_3y_net_excess_vs_global,latest_3y_net_excess_vs_equal_pool,latest_3y_maximum_drawdown,latest_3y_calmar_mar,latest_3y_ulcer_index,latest_3y_annualised_volatility,latest_3y_sortino_zero_cash_hurdle,latest_3y_annual_turnover_traded_notional,latest_3y_trade_legs,latest_3y_cost_drag_cagr,latest_3y_average_cash_weight,latest_3y_percentage_time_100_cash,latest_3y_percentage_time_partially_invested,latest_3y_maximum_time_underwater_calendar_days,latest_3y_terminal_wealth_per_100k,latest_3y_drawdown_efficiency_excess_vs_pool,warning
M1_EQUAL_5H|TOP_10|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,10,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.09966658823722008,0.11153074054898604,-0.016344244056035295,-0.015653097369813906,-0.24714571581291722,0.4032705479413006,0.081097073509019,0.17806483299835105,0.7382515707295719,4.799127940871672,1120,0.011864152311765963,0.0,0.0,0.0,1102,245964.40660605818,-0.06333549953851067,0.04282105568953054,0.046492443848475284,-0.037933011563471064,-0.030441736815302933,-0.15096826913425865,0.2836427544350333,0.047432066496539964,0.13082004138941686,0.45140322029504726,1.7161627593667519,154,0.003671388158944744,0.0,0.0,0.0,327,112616.415693175,-0.20164327901401968,0.12359453719574454,0.13907176678266464,-0.006080695745728448,-0.008373589423440686,-0.24714571581291722,0.5000877186530004,0.09120416564094112,0.19388585666690827,0.8417801355678549,6.122524450648803,966,0.015477229586920105,0.0,0.0,0.0,1102,216572.37086701312,-0.03388118380243044,0.10313998297075755,0.11983658811196118,-0.012024565242156005,-0.006759659813750485,-0.20557247318223282,0.5017207867092573,0.09819457855290196,0.184512966301589,0.7603690210704279,6.803086156567566,744,0.016696605141203635,0.0,0.0,0.0,1102,162871.24659534075,-0.03288212526274509,0.24028507078703942,0.26023305139501973,0.05346164716466428,0.03247002448330982,-0.18184358900508046,1.3213832398585479,0.05228468559823061,0.18386034714419636,1.7512426524669764,7.257970837209056,456,0.01994798060798031,0.0,0.0,0.0,184,190824.58342988577,0.17856018274255825,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_3|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,3,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.08948812053687316,0.11539078318128859,-0.02652271175638221,-0.025831565070160822,-0.30404507418466187,0.2943251778600515,0.11695663349740683,0.23028622682193564,0.5092534911217504,11.541717527765101,465,0.02590266264441543,0.0,0.0,0.0,1340,225223.97807530567,-0.08495965652274312,0.016394722791182037,0.03647375796546948,-0.06435934446181957,-0.05686806971365144,-0.22020101745085507,0.07445343795852825,0.09512780564504007,0.14758553852518683,0.14790549488330534,9.778053885463066,127,0.02007903517428744,0.0,0.0,0.0,488,104715.98096047035,-0.258255254094561,0.12138341996968882,0.14952173218243736,-0.008291812971784163,-0.0105847066494964,-0.2594856634757948,0.46778468738413226,0.12180806341908645,0.25654107703398193,0.6316103742919634,12.304604570620297,338,0.02813831221274854,0.0,0.0,0.0,1340,213828.87401859288,-0.04079110386182763,0.06891626894847991,0.09692867819773632,-0.046248279264433645,-0.040983373836028125,-0.2594856634757947,0.2655879636098221,0.13628431133907487,0.2630630159332849,0.35486258764536366,12.78955386849913,257,0.02801240924925641,0.0,0.0,0.0,1340,139261.12510136855,-0.15794080215091008,0.21464351266795023,0.2488239484331516,0.02782008904557509,0.006828466364220631,-0.22739209236040647,0.9439356946843591,0.10412153319355635,0.2845790503526016,1.0051738274127664,13.593219662654837,163,0.034180435765201356,0.0,0.0,0.0,382,179229.50711655442,0.030029480327740738,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_4|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,4,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.10286180412595325,0.12634869430788975,-0.013149028167302124,-0.012457881481080735,-0.2679877961798689,0.38383018030012883,0.10568517296294658,0.21016367980979128,0.6468942448660374,10.262902834282563,611,0.023486890181936504,0.0,0.0,0.0,1078,252818.6278991055,-0.046486749242563324,0.043672840199961316,0.06111199524329791,-0.03708122705304029,-0.029589952304872158,-0.144581238181007,0.302064367060445,0.05411791164898039,0.1357886206312103,0.44009811880727256,8.19748645362074,164,0.017439155043336596,0.0,0.0,0.0,323,112877.27473064481,-0.20465969635581155,0.12794864730811217,0.15383728220488369,-0.001726585633360811,-0.004019479311073049,-0.2679877961798688,0.47744206688514745,0.12014605485293277,0.23366639650809154,0.7359109512915251,11.153629932777633,447,0.025888634896771512,0.0,0.0,0.0,1078,222271.97922756613,-0.014998740123133233,0.08378532682424522,0.10917024698114997,-0.03137922138866833,-0.026114315960262813,-0.2636896653626344,0.31774217130967564,0.13077997883757655,0.23786509575303172,0.4791916451809056,11.445224776133408,341,0.025384920156904744,0.0,0.0,0.0,916,149156.9927408851,-0.099034279270481,0.22550193759646975,0.25619418505850455,0.03867851397409461,0.017686891292740148,-0.21787059921465557,1.0350269307071371,0.08062883206688219,0.2540691629159678,1.1863394377733771,12.054263985216418,208,0.030692247462034805,0.0,0.0,0.0,262,184080.54691889076,0.0811807162439309,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_5|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,5,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.12234612345418472,0.1419738324898634,0.006335291160929346,0.007026437847150735,-0.2515374707932586,0.4863932322621719,0.09841742492197741,0.1985169466314349,0.8162189249322127,8.394214940135134,689,0.019627709035678675,0.0,0.0,0.0,916,298441.4982520587,0.02793396079316485,0.06809786311685273,0.08055303653889445,-0.012656204136148874,-0.005164929387980743,-0.12497319586483635,0.5448997494671047,0.04564751608374864,0.13333971225476843,0.7135802006660193,5.693209330765456,177,0.012455173422041721,0.0,0.0,0.0,297,120524.70781293299,-0.041328297257972234,0.14440852884769173,0.16699458990458127,0.014733295906218746,0.012440402228506509,-0.2515374707932585,0.5741034462669887,0.11276772180935407,0.21917829827474408,0.8817339991158013,9.5548955986485,512,0.02258606105688954,0.0,0.0,0.0,916,244694.3358930039,0.049457451366088576,0.09015853002620156,0.1122995981008772,-0.025006018186711998,-0.01974111275830648,-0.2515374707932585,0.35842981859471695,0.12587634821034968,0.21980475193491372,0.5600253883015003,9.895308789308833,387,0.02214106807467564,0.0,0.0,0.0,916,153566.8230193988,-0.07848179714954645,0.22542808625093746,0.2514422175607738,0.038604662628562325,0.017613039947207865,-0.19702953573208637,1.1441334691945193,0.07266213500702746,0.2319496553039184,1.3073778271872603,10.205375857846892,236,0.02601413130983632,0.0,0.0,0.0,237,184047.26139690776,0.08939289168887572,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_6|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,6,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.12131741494203307,0.13901130897518543,0.005306582648777702,0.005997729334999091,-0.2655937232303155,0.4567781703064947,0.10066546005850813,0.18900659687419508,0.8489338317351327,7.471712840829774,818,0.017693894033152358,0.0,0.0,0.0,916,295860.22675739386,0.022582345930660518,0.048748792443918276,0.059050088916322796,-0.03200527480908333,-0.024514000060915198,-0.12755557137901086,0.38217689683713685,0.048903845515243786,0.1316767392265455,0.5115853283644703,4.71390621355773,198,0.01030129647240452,0.0,0.0,0.0,294,114439.89560446462,-0.19218290346625308,0.15161266367264448,0.17248163266323102,0.021937430731171492,0.019644537053459254,-0.2655937232303155,0.5708443024505145,0.11484641554529905,0.20746470587258997,0.9728064551286568,8.65589496419264,620,0.020868968990586545,0.0,0.0,0.0,916,255096.04366549663,0.07396461337463182,0.09865113579936935,0.12004613182199497,-0.016513412413544204,-0.011248506985138684,-0.2655937232303156,0.3714362470600323,0.12785110411783782,0.2036100219631537,0.6595094254568026,9.298557969656775,485,0.021394996022625623,0.0,0.0,0.0,916,159604.34078976847,-0.042352307307293884,0.2498233079060368,0.27489384372635395,0.06299988428366166,0.042008261602307195,-0.18082483209801048,1.3815763300177037,0.06422813598936203,0.2100404486888866,1.5965749772293902,9.55712516318534,289,0.025070535820317152,0.0,0.0,0.0,240,195262.17179724143,0.232314672243345,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_7|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,7,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.12523138768439557,0.14069520885968445,0.009220555391140195,0.009911702077361584,-0.2495176796313464,0.5018938452354179,0.0972466665762404,0.1857341099597567,0.8876624139942938,6.429824676832062,903,0.015463821175288883,0.0,0.0,0.0,1116,305789.12811304646,0.039723446017956625,0.0433425201356481,0.05095690232357453,-0.037411547117353505,-0.029920272369185374,-0.13907808716835846,0.31164161815930497,0.047636995090553046,0.1329354293242085,0.4433215807231869,3.4925667722529226,189,0.007614382187926427,0.0,0.0,0.0,328,112776.06783645868,-0.21513290107999494,0.1606923434667351,0.1796443498899336,0.031017110525262126,0.028724216847549888,-0.24951767963134652,0.6440118540063066,0.11053954795871884,0.20240284985721985,1.0507664746572047,7.692975546059937,714,0.018952006423198497,0.0,0.0,0.0,1116,268628.9785307114,0.11511896427535273,0.11069339203730588,0.1307862123444683,-0.004471156175607671,0.0007937492527978485,-0.2495176796313464,0.443629454236876,0.12293585302600779,0.19736712077937343,0.7618674058488513,8.59629429155805,567,0.020092820307162418,0.0,0.0,0.0,1116,168488.8842495817,0.0031811343146929912,0.2737530347546233,0.2975804263466535,0.08692961113224817,0.06593798845089371,-0.17890092125562473,1.5301935441878916,0.05934757250795743,0.20264017580612143,1.8131224672441353,8.816754730248675,343,0.023827391592030178,0.0,0.0,0.0,197,206696.96375083877,0.36857266015236123,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_8|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,8,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.1161999093636985,0.13026395007006597,0.00018907707044313327,0.0008802237566645221,-0.24991960058425333,0.46494916401935027,0.08857853551920128,0.18111779206432724,0.849431506357906,5.767801063201974,1003,0.014064040706367464,0.0,0.0,0.0,917,283313.5585379876,0.0035220277025361985,0.034725986616129134,0.04113616418995503,-0.04602808063687247,-0.03853680588870434,-0.15033595008632206,0.23098923841030483,0.05260210367691234,0.13147788134020644,0.36196810465105034,2.9364436739948965,190,0.006410177573825893,0.0,0.0,0.0,356,110156.7495668134,-0.25633792759866636,0.15151820947389294,0.16900539761329547,0.021842976532419955,0.019550082854707718,-0.24991960058425344,0.6062678122071213,0.09901918440444044,0.19695032700749748,1.0212454115010365,6.98487715775975,813,0.017487188139402532,0.0,0.0,0.0,917,254858.81269259055,0.07822548855313552,0.12426629744350937,0.1426449812868742,0.009101749230595813,0.014366654659001332,-0.22374255141031263,0.5553985894065466,0.10851256308313874,0.18912442964794798,0.8869471912669408,7.558329744849653,627,0.01837868384336483,0.0,0.0,0.0,917,178971.68913986546,0.06421065000128157,0.2839817065746808,0.305954985502493,0.09715828295230566,0.0761666602709512,-0.16870933030167545,1.683260232655079,0.05444585175950974,0.1928547357864829,1.969174151993888,7.921887346079896,381,0.0219732789278122,0.0,0.0,0.0,240,211717.86319830478,0.4514667928250012,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H|TOP_9|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M1_EQUAL_5H,9,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.11099421256361275,0.12383829974677774,-0.005016619729642624,-0.004325473043421235,-0.2514437681651184,0.44142757394060744,0.08341312158987438,0.17969680052222867,0.8120498183442403,5.2261179600451015,1053,0.012844087183164987,0.0,0.0,0.0,917,271041.0573323815,-0.017202546219323194,0.036975800085589094,0.041582772744886976,-0.04377826716741251,-0.03628699241924438,-0.15096826913425865,0.24492431619988891,0.049678210277609505,0.13054483475710368,0.3908633289532264,2.1270393166838395,170,0.004606972659297881,0.0,0.0,0.0,495,110836.82448887447,-0.24036171724916405,0.1428491414918125,0.1593843708035334,0.013173908550339508,0.01088101487262727,-0.25144376816511826,0.5681156567698517,0.09343222783977767,0.19573861794557815,0.9594747788904371,6.556929169689629,883,0.01653522931172091,0.0,0.0,0.0,917,242402.25778749038,0.0432741481406766,0.12077712368986182,0.13841689080831454,0.005612575476948267,0.010877480905353787,-0.2090284209904938,0.5778024017860927,0.10095002219287524,0.18569478734735662,0.8847357210306417,7.128305543731609,686,0.01763976711845272,0.0,0.0,0.0,917,176228.48542595885,0.0520382867258442,0.2717972065131331,0.29351731497353595,0.08497378289075797,0.0639821602094035,-0.17226259976625213,1.5778074107899347,0.05171889924723823,0.18648203223148735,1.9709618796971327,7.821103821975305,427,0.021720108460402843,0.0,0.0,0.0,197,205746.04906691881,0.3714222373064302,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H|TOP_10|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M2_INTERMEDIATE_5H,10,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.10219301692339444,0.11243143841453729,-0.01381781536986093,-0.013126668683639542,-0.24714571581291722,0.4134929735166919,0.07946041147797961,0.1795228893551474,0.7476248071950197,4.097942521586981,1075,0.010238421491142846,0.0,0.0,0.0,857,251370.00540781248,-0.053113073963119324,0.04282105568953054,0.046492443848475284,-0.037933011563471064,-0.030441736815302933,-0.15096826913425865,0.2836427544350333,0.047432066496539964,0.13082004138941686,0.45140322029504726,1.7161627593667519,154,0.003671388158944744,0.0,0.0,0.0,327,112616.415693175,-0.20164327901401968,0.1272840689695347,0.14039058851739883,-0.0023911639719382816,-0.004684057649650519,-0.24714571581291722,0.515016287257374,0.08912443951363937,0.19569967211607495,0.8550623413628041,5.1208309945278145,921,0.013106519547864126,0.0,0.0,0.0,857,221332.01623442967,-0.01895261519805679,0.10564851931796682,0.11960079146971192,-0.009516028894946738,-0.004251123466541218,-0.19855327880363416,0.5320915371155941,0.09559827962656901,0.18648897813498289,0.7633438483744094,5.621493134689498,713,0.013952272151745104,0.0,0.0,0.0,857,164720.0448039517,-0.02141049239859447,0.23875192844578108,0.2554679631983794,0.05192850482340594,0.03093688214205148,-0.19595588754273574,1.2183963005128489,0.05473803746026027,0.1882138115828634,1.6798358139227754,6.066588542633873,427,0.016716034752598308,0.0,0.0,0.0,185,190117.63557552974,0.15787676772561632,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H|TOP_3|MONTHLY|CASH_0_ALWAYS_INVESTED|W0_EQUAL|DYNAMIC_POINT_IN_TIME|BASE,M2_INTERMEDIATE_5H,3,MONTHLY,CASH_0_ALWAYS_INVESTED,W0_EQUAL,0.10402859679595178,0.1261975866162499,-0.011982235497303595,-0.011291088811082206,-0.2803084211649648,0.371121910514168,0.10557888113605549,0.23072742574586425,0.5801266220657746,9.797927469517468,407,0.022168989820298135,0.0,0.0,0.0,804,255363.83897608946,-0.04028094755111645,0.04034638729394313,0.05676711871339668,-0.04040767995905847,-0.03291640521089034,-0.19530104931306003,0.20658561454664504,0.08350476774993554,0.14858278068292624,0.3639751789295835,7.9072481165762,101,0.01642073141945355,0.0,0.0,0.0,455,111860.76230622528,-0.1685418758714738,0.13128044196444644,0.15584564895523334,0.0016052090229734528,-0.0006876846547387849,-0.2680695056205682,0.4897253854388937,0.11265218531289088,0.25699331185540913,0.6662119400761968,10.613630723844024,306,0.024565206990786903,0.0,0.0,0.0,804,226663.96476056913,-0.0025653222030862016,0.07418668496284408,0.09931082670663827,-0.04097786325006947,-0.03571295782166395,-0.26337696713448877,0.2816749155022427,0.12480996212107838,0.263170869654147,0.37159433768612415,11.331802399265996,237,0.02512414174379418,0.0,0.0,0.0,804,142706.8148620951,-0.13559635912819878,0.19033819906932203,0.21936887307047725,0.003514775446946894,-0.017476847234407566,-0.26337696713448877,0.7226835404028675,0.10629282820371064,0.2852023431812316,0.8602360413835227,11.831554532222453,146,0.02903067400115522,0.0,0.0,0.0,411,168681.54428496075,-0.06635677912367836,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
