signal_id,breadth,positive_latest5_pool_excess,positive_post2020_pool_excess,within_excess_band,within_mdd_band,in_selected_plateau,selected_plateau,warning
M1_EQUAL_5H,3,False,False,False,False,False,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,4,False,False,False,False,False,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,5,False,True,False,True,False,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,6,False,True,True,False,False,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,7,True,True,True,True,True,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,8,True,True,True,True,True,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,9,True,True,True,True,True,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M1_EQUAL_5H,10,False,False,True,True,False,7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,3,False,False,False,False,False,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,4,False,True,False,False,False,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,5,True,True,True,False,False,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,6,True,True,True,True,True,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,7,True,True,True,True,True,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,8,True,True,True,True,True,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,9,True,True,True,True,True,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
M2_INTERMEDIATE_5H,10,False,False,False,True,False,6;7;8;9,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
