economic_exposure_family_id,gross_market_pnl_return_units,share_of_gross_family_market_pnl,warning
GLOBAL_BATTERY_EV,0.3809139643381035,0.15820693414841644,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SEMICONDUCTORS,0.3589778937201179,0.149096114371134,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SILVER_MINERS,0.3331977713957652,0.13838872504768354,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_GOLD_MINERS,0.26433308152019075,0.10978680315377862,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
EUROPE_BANKS,0.22567249291606684,0.09372970425991216,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SOFTWARE,0.14542689185150887,0.0604008906382303,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_OIL_GAS,0.14361173642714872,0.05964699290389575,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_ROBOTICS_AUTOMATION,0.1303266050727518,0.05412921172989669,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_TRANSPORTATION,0.12757615853988943,0.05298685478254923,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_SOLAR,0.12120552813919078,0.05034090845700935,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AGRIBUSINESS,0.10134165534930198,0.04209074514293077,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
US_BANKS,0.0901459692129073,0.03744078387830576,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_GENOMICS,0.063533522340665,0.026387700967152677,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_INFRASTRUCTURE,0.04962643662767793,0.02061160032612181,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AI,0.04608865456437733,0.01914223530850526,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_CLEAN_ENERGY,0.04222565625554894,0.017537796573574054,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_CYBERSECURITY,0.0372269697641012,0.015461666689611318,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_AEROSPACE_DEFENCE,-0.0007687121465342894,-0.00031927312551316927,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_URANIUM_NUCLEAR,-0.004328656909561801,-0.0017978430899274532,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_BIOTECHNOLOGY,-0.00601865773903687,-0.0024997597298283495,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_RETAIL,-0.02791045896875516,-0.011592192876926312,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_WATER,-0.047641143256427224,-0.019787038332978492,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CHINA_INTERNET,-0.07512903804046378,-0.031203725477891485,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
GLOBAL_QUANTUM_COMPUTING,-0.09193982649199806,-0.03818583574564257,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
