cash_architecture,defensive_date,cash_fraction,subsequent_global_return_approx_3m,false_defensive,warning
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2018-04-30,0.5679152029405329,0.07821582006570571,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2018-11-30,0.5720679478725561,0.002158532198104579,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2019-01-31,0.7083332482977404,0.08108108108108092,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2019-03-29,0.5657833118857484,0.08440646218684189,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2019-06-28,0.6974695861331024,0.03462299406462921,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2020-04-29,0.5176100231568754,0.07543391188250959,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2022-10-31,0.5590173720966725,0.017834190231362124,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2022-11-30,0.7219516351798559,0.015455704270235682,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2022-12-30,0.5794920133315236,0.03853754940711429,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2023-01-31,0.556423721629308,0.0006314127861080099,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2023-03-31,0.5852128274654947,0.04202077431539131,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_1_INDIVIDUAL_ABOVE_CASH_252,2023-04-28,0.7158993522310308,0.06277463904582548,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2018-03-29,0.5066372705790528,0.08001576665352728,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2018-04-30,1.0,0.07821582006570571,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2018-11-30,1.0,0.002158532198104579,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2018-12-31,0.516700222978815,0.10091506637453174,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2019-01-31,1.0,0.08108108108108092,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2019-02-28,0.5002068589917814,0.042758787293151856,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2019-06-28,1.0,0.03462299406462921,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2019-09-30,0.503993733982706,0.013188436378982926,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2020-04-30,1.0,0.0852130325814533,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2020-05-29,1.0,0.0739391341620228,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2022-05-31,0.5036328983906367,0.02870115128911932,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2022-06-30,0.525353934134776,0.0435414884516685,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2022-10-31,1.0,0.017834190231362124,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2022-11-30,1.0,0.015455704270235682,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2022-12-30,1.0,0.03853754940711429,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-01-31,1.0,0.0006314127861080099,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-02-28,0.5154595269859271,0.03397061147100544,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-03-31,0.5037703203294851,0.04202077431539131,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-04-28,1.0,0.06277463904582548,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-08-31,0.5054698500336432,0.011598513011151557,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2023-10-31,0.5079067224581697,0.11582833410244531,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2024-04-30,0.5028587421990416,0.035588119848227295,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2024-09-30,0.5042607365729116,0.07572355289421173,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2025-03-31,0.5020069510649143,0.0670521653543319,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_2_POOL_BREADTH,2025-04-30,0.5131242457931753,0.14132492113564732,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2018-02-28,1.0,0.028804007514087626,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2018-03-29,1.0,0.08001576665352728,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2018-04-30,1.0,0.07821582006570571,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2018-05-31,1.0,0.07237723894236625,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2018-06-29,1.0,0.058291093410571815,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2019-01-31,1.0,0.08108108108108092,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2019-02-28,1.0,0.042758787293151856,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2019-03-29,1.0,0.08440646218684189,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2020-03-31,1.0,0.1893084845512496,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2020-04-30,1.0,0.0852130325814533,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2020-05-29,1.0,0.0739391341620228,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2022-05-31,1.0,0.02870115128911932,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2022-06-30,1.0,0.0435414884516685,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2022-10-31,1.0,0.017834190231362124,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2022-11-30,1.0,0.015455704270235682,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2022-12-30,1.0,0.03853754940711429,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2023-01-31,1.0,0.0006314127861080099,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2023-04-28,1.0,0.06277463904582548,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2023-05-31,1.0,0.04816262705238472,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2023-11-30,1.0,0.11672294817207396,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2025-04-30,1.0,0.14132492113564732,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2025-05-30,1.0,0.08695132161224772,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2025-06-30,1.0,0.08758443978569774,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_3_GLOBAL_CONFIRMATION,2026-04-30,1.0,0.04809976247030767,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-02-28,1.0,0.028804007514087626,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-03-29,1.0,0.08001576665352728,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-04-30,1.0,0.07821582006570571,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-05-31,1.0,0.07237723894236625,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-06-29,1.0,0.058291093410571815,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
CASH_4_PARSIMONIOUS_COMBINED,2018-11-30,1.0,0.002158532198104579,True,"HISTORICAL UK RETAIL, ISA, ACCOUNT AND BROKER ELIGIBILITY REMAIN PARTLY UNRESOLVED"
