signal_date,execution_date,execution_lag_xlon_sessions,execution_status,complete_eligible_industry_theme_universe,family_count,rank_1_family,rank_2_family,rank_3_family,rank_4_family,rank_5_family,selected_family,previous_holding,switch_occurred,RS63,RS126,RS252,rank_RS63,rank_RS126,rank_RS252,composite_score,entry_implementation_ticker,entry_implementation_ISIN,parent_sector,geography,industry,theme,deepvue_label,research_maturity,transaction_cost_estimate_normalised,warning,global_trend_regime,global_realised_volatility_63,global_vol_q33_prior,global_vol_q67_prior,cross_sectional_dispersion_rs63,leadership_breadth_positive_rs63,rotation_intensity_rank_change_21,eligible_family_count,mature_family_count,theme_family_count,industry_family_count,recent_launch_count_252,us_technology_dominance,volatility_regime,dispersion_q33_prior,dispersion_q67_prior,rotation_q33_prior,rotation_q67_prior,dispersion_regime,rotation_intensity_regime,breadth_regime,selected_family_holding_period_return_gbp,candidate_net_holding_period_return,global_benchmark_holding_period_return,equal_weight_pool_holding_period_return,unselected_pool_holding_period_return,subsequent_endpoint_date,selected_minus_unselected
2021-08-31,2021-09-01,1.0,EXECUTED,GLOBAL_CYBERSECURITY;GLOBAL_TRANSPORTATION;GLOBAL_WATER;GLOBAL_SEMICONDUCTORS;GLOBAL_BATTERY_EV;EUROPE_BANKS;GLOBAL_ROBOTICS_AUTOMATION;US_BANKS;GLOBAL_SOFTWARE;GLOBAL_BIOTECHNOLOGY;GLOBAL_INFRASTRUCTURE;GLOBAL_OIL_GAS;GLOBAL_AGRIBUSINESS;GLOBAL_GOLD_MINERS,14,GLOBAL_CYBERSECURITY,GLOBAL_TRANSPORTATION,GLOBAL_WATER,GLOBAL_SEMICONDUCTORS,GLOBAL_BATTERY_EV,GLOBAL_CYBERSECURITY,NOT_APPLICABLE,YES,0.1040176430832962,0.05197677364533404,0.07853657464099006,1.0,1.0,0.5,0.8333333333333333,CYSE,IE00BLPK3577,GLOBAL_TECHNOLOGY,GLOBAL,CYBERSECURITY,CYBERSECURITY,Cybersecurity,NEW,0.0020159600000000002,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.07807441370035204,0.11242206195200714,0.1435737891473017,0.11662499420583398,0.4375,0.125,16,8,9,7,2,DOMINANT,LOW,0.057048320652014324,0.08816671329594508,0.1111111111111111,0.1666666666666667,HIGH,NORMAL,MEDIUM,-0.033066444837266507,-0.036966163537348606,-0.02966841186736502,-0.009498745539742615,-0.007680452808188076,2021-10-01,-0.02538599202907843
2021-09-30,2021-10-01,1.0,EXECUTED,GLOBAL_OIL_GAS;EUROPE_BANKS;GLOBAL_CYBERSECURITY;US_BANKS;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_WATER;GLOBAL_SOFTWARE;GLOBAL_BATTERY_EV;GLOBAL_TRANSPORTATION;GLOBAL_SEMICONDUCTORS;GLOBAL_AGRIBUSINESS;GLOBAL_BIOTECHNOLOGY;GLOBAL_INFRASTRUCTURE;GLOBAL_GOLD_MINERS,14,GLOBAL_OIL_GAS,EUROPE_BANKS,GLOBAL_CYBERSECURITY,US_BANKS,GLOBAL_ROBOTICS_AUTOMATION,GLOBAL_OIL_GAS,GLOBAL_CYBERSECURITY,YES,0.048679711310162466,0.12416191081597594,0.6841993130647033,0.875,1.0,1.0,0.9583333333333333,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0038918570231714707,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.08511209780778178,0.11163998035991898,0.14324326760198733,0.09757825645788003,0.4,0.13333333333333336,15,8,9,6,2,DOMINANT,LOW,0.05723113799353058,0.0886151071017084,0.1111111111111111,0.16666666666666669,HIGH,NORMAL,MEDIUM,0.09438725966207095,0.09438725966207095,0.05134074558534918,0.061596696381833294,0.05885818784873886,2021-11-01,0.03552907181333209
2021-10-29,2021-11-01,1.0,NO_SWITCH_REVIEW,GLOBAL_OIL_GAS;US_BANKS;GLOBAL_CYBERSECURITY;EUROPE_BANKS;GLOBAL_SOFTWARE;GLOBAL_SEMICONDUCTORS;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_WATER;GLOBAL_BATTERY_EV;GLOBAL_AGRIBUSINESS;GLOBAL_TRANSPORTATION;GLOBAL_INFRASTRUCTURE;GLOBAL_BIOTECHNOLOGY;GLOBAL_GOLD_MINERS;CHINA_INTERNET,15,GLOBAL_OIL_GAS,US_BANKS,GLOBAL_CYBERSECURITY,EUROPE_BANKS,GLOBAL_SOFTWARE,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,NO,0.25805607512775364,0.1948383075193736,0.7532841092036062,1.0,1.0,1.0,1.0,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.09631371733481403,0.11086902296955459,0.14246992591653815,0.08261180999203586,0.4375,0.125,16,9,9,7,2,NOT_DOMINANT,LOW,0.05752435415687846,0.08864609237041071,0.1111111111111111,0.16818181818181815,NORMAL,NORMAL,MEDIUM,-0.03602484472049716,-0.039911093106563045,0.0183514774494562,-0.0010582250863288012,0.0009468116873077026,2021-12-01,-0.036971656407804865
2021-11-30,2021-12-01,1.0,EXECUTED,GLOBAL_SEMICONDUCTORS;GLOBAL_OIL_GAS;GLOBAL_CYBERSECURITY;GLOBAL_ROBOTICS_AUTOMATION;US_BANKS;GLOBAL_SOFTWARE;GLOBAL_WATER;GLOBAL_BATTERY_EV;GLOBAL_AGRIBUSINESS;GLOBAL_INFRASTRUCTURE;GLOBAL_CLEAN_ENERGY;GLOBAL_GOLD_MINERS;GLOBAL_TRANSPORTATION;EUROPE_BANKS;GLOBAL_BIOTECHNOLOGY;CHINA_INTERNET,16,GLOBAL_SEMICONDUCTORS,GLOBAL_OIL_GAS,GLOBAL_CYBERSECURITY,GLOBAL_ROBOTICS_AUTOMATION,US_BANKS,GLOBAL_SEMICONDUCTORS,GLOBAL_OIL_GAS,YES,0.13198657507867595,0.15803848902262674,0.21339246510311605,0.9375,1.0,0.9375,0.9583333333333333,SMGB,IE00BMC38736,GLOBAL_TECHNOLOGY,GLOBAL,SEMICONDUCTORS,SEMICONDUCTORS,Semiconductors,MATURE,0.004087584331028931,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.11936724454534677,0.11032779953056748,0.1420529819587359,0.07168177358380272,0.5625,0.125,16,9,9,7,3,DOMINANT,NORMAL,0.05758023981029281,0.08845628522786923,0.1111111111111111,0.16994949494949485,NORMAL,NORMAL,MEDIUM,-0.02904684860240847,-0.02904684860240847,0.012981062919975805,-0.010379744667979196,-0.008381207487652254,2022-01-04,-0.020665641114756217
2021-12-31,2022-01-04,1.0,NO_SWITCH_REVIEW,GLOBAL_SEMICONDUCTORS;GLOBAL_CYBERSECURITY;GLOBAL_OIL_GAS;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_WATER;GLOBAL_AGRIBUSINESS;GLOBAL_INFRASTRUCTURE;EUROPE_BANKS;US_BANKS;GLOBAL_GOLD_MINERS;GLOBAL_BATTERY_EV;GLOBAL_SOFTWARE;GLOBAL_TRANSPORTATION;GLOBAL_BIOTECHNOLOGY;GLOBAL_CLEAN_ENERGY,15,GLOBAL_SEMICONDUCTORS,GLOBAL_CYBERSECURITY,GLOBAL_OIL_GAS,GLOBAL_ROBOTICS_AUTOMATION,GLOBAL_WATER,GLOBAL_SEMICONDUCTORS,GLOBAL_SEMICONDUCTORS,NO,0.12426751574897144,0.11869874574241912,0.14844625817751345,1.0,1.0,0.9333333333333333,0.9777777777777777,SMGB,IE00BMC38736,GLOBAL_TECHNOLOGY,GLOBAL,SEMICONDUCTORS,SEMICONDUCTORS,Semiconductors,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.14023938203289932,0.1105511487838257,0.14199712370616324,0.06321303937810847,0.4,0.12083333333333335,15,9,8,7,3,DOMINANT,NORMAL,0.05770910242730092,0.08835184235461008,0.1111111111111111,0.17083333333333334,NORMAL,NORMAL,MEDIUM,-0.10348779937673491,-0.10710640312559805,-0.050505050505050275,-0.051014744739376616,-0.0473613374517744,2022-02-01,-0.05612646192496051
2022-01-31,2022-02-01,1.0,EXECUTED,GLOBAL_OIL_GAS;EUROPE_BANKS;GLOBAL_AGRIBUSINESS;GLOBAL_SEMICONDUCTORS;US_BANKS;GLOBAL_INFRASTRUCTURE;GLOBAL_BATTERY_EV;GLOBAL_WATER;GLOBAL_CYBERSECURITY;GLOBAL_TRANSPORTATION;GLOBAL_GOLD_MINERS;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SOFTWARE;GLOBAL_BIOTECHNOLOGY;CHINA_INTERNET;GLOBAL_CLEAN_ENERGY,16,GLOBAL_OIL_GAS,EUROPE_BANKS,GLOBAL_AGRIBUSINESS,GLOBAL_SEMICONDUCTORS,US_BANKS,GLOBAL_OIL_GAS,GLOBAL_SEMICONDUCTORS,YES,0.147742033468359,0.44392383788435064,0.6270111108153316,1.0,1.0,1.0,1.0,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0035480270908812084,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",BELOW_OR_EQUAL_200,0.16680022414630502,0.11091468342575887,0.14194639161779943,0.11095768618684007,0.3125,0.25,16,9,9,7,3,NOT_DOMINANT,HIGH,0.057880950936203296,0.08845628522786923,0.1111111111111111,0.16767676767676762,HIGH,HIGH,NARROW,0.05144745122718675,0.051447451227186525,-0.03350269926960947,-0.014711009382403661,-0.01935312013511259,2022-03-01,0.07080057136229934
2022-02-28,2022-03-01,1.0,NO_SWITCH_REVIEW,GLOBAL_OIL_GAS;GLOBAL_AGRIBUSINESS;GLOBAL_GOLD_MINERS;US_BANKS;GLOBAL_CYBERSECURITY;GLOBAL_INFRASTRUCTURE;GLOBAL_SEMICONDUCTORS;EUROPE_BANKS;GLOBAL_BATTERY_EV;GLOBAL_WATER;GLOBAL_TRANSPORTATION;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SOFTWARE;GLOBAL_BIOTECHNOLOGY;CHINA_INTERNET;GLOBAL_CLEAN_ENERGY,16,GLOBAL_OIL_GAS,GLOBAL_AGRIBUSINESS,GLOBAL_GOLD_MINERS,US_BANKS,GLOBAL_CYBERSECURITY,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,NO,0.3015372022656313,0.5733531726730607,0.4427440735595556,1.0,1.0,1.0,1.0,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",BELOW_OR_EQUAL_200,0.19459548753789863,0.11132468591749879,0.14261224876077055,0.12259332897391434,0.3333333333333333,0.04861111111111116,18,9,10,8,3,NOT_DOMINANT,HIGH,0.05809234774490987,0.08877645377054663,0.1111111111111111,0.1690656565656565,HIGH,LOW,MEDIUM,0.11297321562172691,0.11297321562172713,0.061770987350090234,0.06517327058959554,0.061183875198452364,2022-04-01,0.051789340423274544
2022-03-31,2022-04-01,1.0,NO_SWITCH_REVIEW,GLOBAL_OIL_GAS;GLOBAL_AGRIBUSINESS;GLOBAL_GOLD_MINERS;GLOBAL_CYBERSECURITY;GLOBAL_INFRASTRUCTURE;GLOBAL_BATTERY_EV;GLOBAL_SEMICONDUCTORS;GLOBAL_WATER;US_BANKS;GLOBAL_TRANSPORTATION;EUROPE_BANKS;GLOBAL_CLEAN_ENERGY;GLOBAL_ROBOTICS_AUTOMATION;GLOBAL_SOFTWARE;GLOBAL_BIOTECHNOLOGY;CHINA_INTERNET,16,GLOBAL_OIL_GAS,GLOBAL_AGRIBUSINESS,GLOBAL_GOLD_MINERS,GLOBAL_CYBERSECURITY,GLOBAL_INFRASTRUCTURE,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,NO,0.41039842471771815,0.3550920102076238,0.554316381236704,1.0,1.0,1.0,1.0,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",ABOVE_200,0.19034259526703942,0.11146358818101582,0.1436501831786346,0.1674267505474887,0.3888888888888889,0.055555555555555566,18,9,10,8,3,NOT_DOMINANT,HIGH,0.05823322814092668,0.08967715382521879,0.1111111111111111,0.1666666666666667,HIGH,LOW,MEDIUM,0.043022317827372314,0.043022317827372314,-0.029862293052761557,-0.04509706165695648,-0.05090125367967435,2022-05-03,0.09392357150704667
2022-04-29,2022-05-03,1.0,NO_SWITCH_REVIEW,GLOBAL_OIL_GAS;GLOBAL_AGRIBUSINESS;GLOBAL_GOLD_MINERS;GLOBAL_CYBERSECURITY;GLOBAL_INFRASTRUCTURE;GLOBAL_SEMICONDUCTORS;GLOBAL_WATER;GLOBAL_BATTERY_EV;GLOBAL_TRANSPORTATION;GLOBAL_CLEAN_ENERGY;GLOBAL_ROBOTICS_AUTOMATION;US_BANKS;EUROPE_BANKS;GLOBAL_SOFTWARE;CHINA_INTERNET,15,GLOBAL_OIL_GAS,GLOBAL_AGRIBUSINESS,GLOBAL_GOLD_MINERS,GLOBAL_CYBERSECURITY,GLOBAL_INFRASTRUCTURE,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,NO,0.1930718546870276,0.4090180749087724,0.71627159410907,0.8823529411764706,1.0,1.0,0.9607843137254901,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",BELOW_OR_EQUAL_200,0.17506181902683982,0.11198665341809566,0.14480247111966565,0.12504408381304585,0.4117647058823529,0.12745098039215685,17,8,10,7,3,NOT_DOMINANT,HIGH,0.05860332491426542,0.09036083891976461,0.1111111111111111,0.16666666666666669,HIGH,NORMAL,MEDIUM,0.13392626965712773,0.13392626965712773,-0.014673046251993838,-0.008842124863598255,-0.01857542915101773,2022-06-01,0.15250169880814546
2022-05-31,2022-06-01,1.0,NO_SWITCH_REVIEW,GLOBAL_OIL_GAS;GLOBAL_AGRIBUSINESS;GLOBAL_INFRASTRUCTURE;EUROPE_BANKS;GLOBAL_BATTERY_EV;GLOBAL_SEMICONDUCTORS;GLOBAL_WATER;GLOBAL_TRANSPORTATION;GLOBAL_GOLD_MINERS;GLOBAL_CYBERSECURITY;US_BANKS;GLOBAL_CLEAN_ENERGY;GLOBAL_ROBOTICS_AUTOMATION;CHINA_INTERNET;GLOBAL_BIOTECHNOLOGY;GLOBAL_SOFTWARE,16,GLOBAL_OIL_GAS,GLOBAL_AGRIBUSINESS,GLOBAL_INFRASTRUCTURE,EUROPE_BANKS,GLOBAL_BATTERY_EV,GLOBAL_OIL_GAS,GLOBAL_OIL_GAS,NO,0.35266269640156933,0.7605408214835836,0.793539770654289,1.0,1.0,1.0,1.0,SPOG,IE00B6R51Z18,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,Oil & Gas,MATURE,0.0,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",BELOW_OR_EQUAL_200,0.19028902625603,0.11240679713184114,0.14565869574915755,0.11948937118447298,0.3157894736842105,0.10526315789473684,19,9,11,8,5,NOT_DOMINANT,HIGH,0.05945438410103875,0.09140363082072069,0.1111111111111111,0.16666666666666669,HIGH,LOW,NARROW,-0.18324428782539515,-0.18324428782539526,-0.04532211071544212,-0.054223464061141424,-0.04526107649016953,2022-07-01,-0.13798321133522562
