signal_date,execution_date,rank,economic_exposure_family_id,economic_exposure_name,RS63,RS126,RS252,rank_RS63,rank_RS126,rank_RS252,composite_score,research_maturity,parent_sector,geography,industry,theme,warning
2021-08-31,2021-09-01,1,GLOBAL_CYBERSECURITY,Global cybersecurity businesses,0.1040176430832962,0.05197677364533404,0.07853657464099006,1.0,1.0,0.5,0.8333333333333333,NEW,GLOBAL_TECHNOLOGY,GLOBAL,CYBERSECURITY,CYBERSECURITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-08-31,2021-09-01,2,GLOBAL_TRANSPORTATION,Transportation and logistics,0.006187464590954761,0.0355075622159402,0.12299622163112289,0.6875,0.875,0.7142857142857143,0.7589285714285714,DEVELOPING,GLOBAL_INDUSTRIALS,GLOBAL,TRANSPORTATION,TRANSPORTATION,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-08-31,2021-09-01,3,GLOBAL_WATER,Water infrastructure and services,0.04846339290070101,0.05104183660113759,0.011170642723426383,0.875,0.9375,0.35714285714285715,0.7232142857142857,MATURE,GLOBAL_INDUSTRIALS,GLOBAL,WATER_INFRASTRUCTURE,WATER,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-08-31,2021-09-01,4,GLOBAL_SEMICONDUCTORS,Global semiconductor value chain,0.029403578244218576,-0.0183851507099414,0.08077870333698867,0.75,0.75,0.6428571428571429,0.7142857142857143,MATURE,GLOBAL_TECHNOLOGY,GLOBAL,SEMICONDUCTORS,SEMICONDUCTORS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-08-31,2021-09-01,5,GLOBAL_BATTERY_EV,Battery and electric-vehicle value chain,-0.048568841729294654,-0.04881910957741553,0.27375985867252295,0.5,0.4375,1.0,0.6458333333333333,DEVELOPING,GLOBAL_INDUSTRIALS,GLOBAL,BATTERY_AND_EV_VALUE_CHAIN,BATTERY_EV,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,1,GLOBAL_OIL_GAS,Global oil and gas equities,0.048679711310162466,0.12416191081597594,0.6841993130647033,0.875,1.0,1.0,0.9583333333333333,MATURE,GLOBAL_ENERGY,GLOBAL,OIL_AND_GAS,OIL_AND_GAS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,2,EUROPE_BANKS,Europe banking industry,0.05547779703644817,0.047648004261936494,0.4262435395836415,0.9375,0.875,0.9285714285714286,0.9136904761904762,MATURE,EUROPE_FINANCIALS,EUROPE,BANKS,NOT_APPLICABLE,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,3,GLOBAL_CYBERSECURITY,Global cybersecurity businesses,0.04655331862077494,0.08291826329694496,0.07530472128966292,0.8125,0.9375,0.7142857142857143,0.8214285714285714,NEW,GLOBAL_TECHNOLOGY,GLOBAL,CYBERSECURITY,CYBERSECURITY,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,4,US_BANKS,Us banking industry,0.05683242421202994,0.0022632348518549783,0.37868457386874455,1.0,0.5,0.8571428571428571,0.7857142857142857,DEVELOPING,US_FINANCIALS,UNITED_STATES,BANKS,NOT_APPLICABLE,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,5,GLOBAL_ROBOTICS_AUTOMATION,Robotics and industrial automation,0.01827245986053927,0.012810525945508688,0.056427539565326645,0.6875,0.5625,0.5,0.5833333333333333,MATURE,GLOBAL_INDUSTRIALS,GLOBAL,INDUSTRIAL_AUTOMATION,ROBOTICS,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
