signal_date,frozen_execution_date,next_frozen_endpoint_date,eligible_family_count,valid_complete_interval_family_count,invalid_complete_interval_family_count,valid_complete_interval_fraction,families_invalid_at_future_endpoint_or_continuity,cumulative_probability_uniform_random_path_remains_valid,future_validity_used_for_selection,warning
2021-08-31,2021-09-01,2021-10-01,14,14,0,1.0,,1.0,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-09-30,2021-10-01,2021-11-01,14,14,0,1.0,,1.0,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-10-29,2021-11-01,2021-12-01,15,15,0,1.0,,1.0,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-11-30,2021-12-01,2022-01-04,16,14,2,0.875,CHINA_INTERNET;GLOBAL_BIOTECHNOLOGY,0.875,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2021-12-31,2022-01-04,2022-02-01,15,14,1,0.9333333333333333,GLOBAL_BIOTECHNOLOGY,0.8166666666666667,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-01-31,2022-02-01,2022-03-01,16,15,1,0.9375,GLOBAL_BIOTECHNOLOGY,0.765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-02-28,2022-03-01,2022-04-01,16,16,0,1.0,,0.765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-03-31,2022-04-01,2022-05-03,16,16,0,1.0,,0.765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-04-29,2022-05-03,2022-06-01,15,15,0,1.0,,0.765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-05-31,2022-06-01,2022-07-01,16,15,1,0.9375,GLOBAL_WATER,0.7177734375,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-06-30,2022-07-01,2022-08-01,16,15,1,0.9375,GLOBAL_WATER,0.67291259765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-07-29,2022-08-01,2022-09-01,16,16,0,1.0,,0.67291259765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-08-31,2022-09-01,2022-10-03,15,15,0,1.0,,0.67291259765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-09-30,2022-10-03,2022-11-01,15,15,0,1.0,,0.67291259765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-10-31,2022-11-01,2022-12-01,16,16,0,1.0,,0.67291259765625,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-11-30,2022-12-01,2023-01-03,18,17,1,0.9444444444444444,GLOBAL_INFRASTRUCTURE,0.635528564453125,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2022-12-30,2023-01-03,2023-02-01,18,17,1,0.9444444444444444,GLOBAL_INFRASTRUCTURE,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-01-31,2023-02-01,2023-03-01,17,17,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-02-28,2023-03-01,2023-04-03,19,19,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-03-31,2023-04-03,2023-05-02,19,19,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-04-28,2023-05-02,2023-06-01,18,18,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-05-31,2023-06-01,2023-07-03,21,21,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-06-30,2023-07-03,2023-08-01,21,21,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-07-31,2023-08-01,2023-09-01,21,21,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-08-31,2023-09-01,2023-10-02,21,21,0,1.0,,0.6002214219835069,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-09-29,2023-10-02,2023-11-01,22,21,1,0.9545454545454546,GLOBAL_BIOTECHNOLOGY,0.5729386300751658,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-10-31,2023-11-01,2023-12-01,22,21,1,0.9545454545454546,GLOBAL_BIOTECHNOLOGY,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-11-30,2023-12-01,2024-01-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2023-12-29,2024-01-02,2024-02-01,21,21,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-01-31,2024-02-01,2024-03-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-02-29,2024-03-01,2024-04-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-03-28,2024-04-02,2024-05-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-04-30,2024-05-01,2024-06-03,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-05-31,2024-06-03,2024-07-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-06-28,2024-07-01,2024-08-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-07-31,2024-08-01,2024-09-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-08-30,2024-09-02,2024-10-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-09-30,2024-10-01,2024-11-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-10-31,2024-11-01,2024-12-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-11-29,2024-12-02,2025-01-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2024-12-31,2025-01-02,2025-02-03,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-01-31,2025-02-03,2025-03-03,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-02-28,2025-03-03,2025-04-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-03-31,2025-04-01,2025-05-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-04-30,2025-05-01,2025-06-02,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-05-30,2025-06-02,2025-07-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-06-30,2025-07-01,2025-08-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-07-31,2025-08-01,2025-09-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-08-29,2025-09-01,2025-10-01,22,22,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-09-30,2025-10-01,2025-11-03,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-10-31,2025-11-03,2025-12-01,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-11-28,2025-12-01,2026-01-02,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2025-12-31,2026-01-02,2026-02-02,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-01-30,2026-02-02,2026-03-02,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-02-27,2026-03-02,2026-04-01,23,23,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-03-31,2026-04-01,2026-05-01,24,24,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-04-30,2026-05-01,2026-06-01,24,24,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-05-29,2026-06-01,2026-07-01,25,25,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-06-30,2026-07-01,2026-08-03,25,25,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
2026-07-31,2026-08-03,2026-08-21,25,25,0,1.0,,0.5468959650717492,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
