test_type,simulation_id,random_seed,valid_path,cagr,excess_vs_equal_family_pool_cagr,excess_vs_global_cagr,selected_vs_unselected_cagr_spread,monthly_endpoint_maximum_drawdown,switches,warning
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,1,20260823,YES,0.004053826954699691,-0.10584581582980834,-0.11111072125821386,-0.1194576357985333,-0.35377738291509886,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,2,20260823,YES,-0.043726648840157756,-0.1536262916246658,-0.1588911970530713,-0.17115006047736192,-0.6301554425261799,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,3,20260823,YES,0.0690577170617217,-0.04084192572278633,-0.04610683115119185,-0.049691754623882645,-0.40082596922234304,54,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,4,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,5,20260823,YES,0.25044377927508865,0.14054413649058062,0.1352792310621751,0.13986739730024778,-0.6258334904566429,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,6,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,7,20260823,YES,0.08355133256662106,-0.026348310217886972,-0.03161321564629249,-0.035310544299637536,-0.42183014101112193,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,8,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,9,20260823,YES,0.024024478334976562,-0.08587516444953147,-0.09114006987793699,-0.09889523869644368,-0.4577002267229807,54,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,10,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,11,20260823,YES,0.12062898849325276,0.01072934570874473,0.005464440280339211,0.005810736602646527,-0.31683087288920697,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,12,20260823,YES,0.057629556910716584,-0.05227008587379145,-0.05753499130219697,-0.06110790653796294,-0.21228599363638312,53,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,13,20260823,YES,0.03332007891218747,-0.07657956387232057,-0.08184446930072609,-0.0884639251806747,-0.3212215546122503,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,14,20260823,YES,0.05186434065574774,-0.05803530212876029,-0.06330020755716581,-0.06866345917059213,-0.35933345678655704,57,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,15,20260823,YES,0.18482905347533962,0.07492941069083159,0.06966450526242607,0.07239291434752526,-0.21989952709312754,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,16,20260823,NO,,,,,,4,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,17,20260823,YES,0.015530098337008802,-0.09436954444749923,-0.09963444987590475,-0.10552857085090284,-0.294526044190086,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,18,20260823,NO,,,,,,14,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,19,20260823,YES,-0.0012574420591385804,-0.11115708484364661,-0.11642199027205213,-0.12255146542606588,-0.3030791608002986,56,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,20,20260823,YES,0.018670780877728443,-0.09122886190677959,-0.09649376733518511,-0.10300805375108557,-0.30179965465099146,55,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,21,20260823,NO,,,,,,2,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,22,20260823,NO,,,,,,7,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,23,20260823,YES,-0.17258789403890518,-0.2824875368234132,-0.28775244225181873,-0.3050907180933673,-0.6781086417965285,58,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,24,20260823,NO,,,,,,14,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,25,20260823,NO,,,,,,25,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,26,20260823,NO,,,,,,14,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
RANDOM_SELECTION_FROM_CONTEMPORANEOUS_POOL,27,20260823,NO,,,,,,24,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
