regime_dimension,regime_state,interval_count,distinct_calendar_years,mean_net_excess_vs_pool_interval,median_net_excess_vs_pool_interval,positive_interval_frequency,mean_excess_excluding_top3_contributor_intervals,interval_count_excluding_top3_contributors,newey_west_standard_error,newey_west_t_stat,newey_west_p_value,warning
global_trend_regime,ABOVE_200,46,6,0.016621559242782885,0.007535052014685739,0.5869565217391305,-0.0021873550940457592,16,0.011148291350671802,1.4909512785366217,0.13597428696131064,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
global_trend_regime,BELOW_OR_EQUAL_200,13,4,0.008232115445011935,0.024803134406592875,0.6153846153846154,0.0032992412470168875,12,0.016728765560759938,0.49209341927307004,0.6226533041542428,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
volatility_regime,HIGH,15,3,0.028096368623986633,0.047799945032131586,0.6666666666666666,0.02225641308947185,12,0.012519840952918117,2.2441474080737382,0.024822918540082582,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
volatility_regime,LOW,26,5,0.007482064256322337,0.0029116524223948836,0.5384615384615384,-0.012158876662480137,11,0.014007945967420464,0.534130005478608,0.5932515913935648,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
volatility_regime,NORMAL,18,6,0.014201668107165975,0.007614081795428773,0.6111111111111112,-0.025747220065382038,5,0.01560820273560007,0.9098849078103021,0.3628832098304092,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
dispersion_regime,HIGH,37,6,0.02593415770099952,0.03279056328023766,0.6486486486486487,0.004804969649403655,19,0.010496881315996125,2.470653608465463,0.013486638370771119,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
dispersion_regime,LOW,2,1,-0.04346193915420954,-0.04346193915420954,0.5,0.013335885948440263,1,0.020081063643365593,-2.1643245560136726,0.030439449408372243,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
dispersion_regime,NORMAL,20,5,-5.153653376976375e-05,-0.00359312689607294,0.5,-0.0125046369784549,8,0.014680446000707005,-0.003510556407297283,0.9971989869960748,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
breadth_regime,BROAD,5,2,0.030966328771995455,0.04678073433077601,0.6,,0,0.030496140339340103,1.0154179652711268,0.3099066328814617,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
breadth_regime,MEDIUM,42,6,0.020968182377655485,0.011649529600077646,0.5952380952380952,0.00889763667298436,20,0.009809922838073611,2.1374462086771153,0.03256171642752328,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
breadth_regime,NARROW,12,3,-0.013657173147361654,0.003924395927966895,0.5833333333333334,-0.021669940000027088,8,0.018151274428856782,-0.7524084989674095,0.45180543712067855,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
rotation_intensity_regime,HIGH,16,5,0.022056373286160384,0.01906951017751657,0.6875,0.0022825586257836233,8,0.009287546597428717,2.3748331224811032,0.017556885755563276,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
rotation_intensity_regime,LOW,17,5,0.0066031114289000084,0.01357278323276978,0.5882352941176471,-0.006241419507151131,9,0.02209954621269719,0.2987894577267936,0.765100695230166,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
rotation_intensity_regime,NORMAL,26,6,0.015632859964742365,0.004336850034881823,0.5384615384615384,0.0038641381834146993,11,0.02483449154113472,0.6294817809677644,0.5290336926384056,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
us_technology_dominance,DOMINANT,17,5,-0.014972796748543708,-0.020020717831000234,0.4117647058823529,-0.016182932275750992,7,0.0076546787061871355,-1.9560320325974587,0.05046138075325689,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
us_technology_dominance,NOT_DOMINANT,42,6,0.02681301834948597,0.025645927747239172,0.6666666666666666,0.005613035209034641,21,0.00993647253897193,2.6984443668839604,0.006966438081219465,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
