family,milestone,milestone_date,global_trend_regime,volatility_regime,dispersion_regime,breadth_regime,rotation_intensity_regime,us_technology_dominance,evidence_level,portfolio_filter_applied,warning
GLOBAL_SILVER_MINERS,FIRST_RANK_IMPROVEMENT,2023-07-31,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SILVER_MINERS,FIRST_TOP_5,2024-05-31,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SILVER_MINERS,FIRST_TOP_3,2024-07-31,ABOVE_200,LOW,LOW,NARROW,HIGH,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SILVER_MINERS,FIRST_RANK_1_SELECTION,2025-08-29,ABOVE_200,LOW,NORMAL,BROAD,NORMAL,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SILVER_MINERS,FINAL_EXIT_OR_CUTOFF,2026-04-01,BELOW_OR_EQUAL_200,NORMAL,HIGH,MEDIUM,LOW,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,FIRST_RANK_IMPROVEMENT,2021-09-30,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,FIRST_TOP_5,2021-09-30,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,FIRST_TOP_3,2021-09-30,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,FIRST_RANK_1_SELECTION,2022-11-30,ABOVE_200,HIGH,HIGH,MEDIUM,HIGH,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,FINAL_EXIT_OR_CUTOFF,2025-09-01,ABOVE_200,LOW,NORMAL,BROAD,NORMAL,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,FIRST_RANK_IMPROVEMENT,2021-10-29,ABOVE_200,LOW,NORMAL,MEDIUM,NORMAL,NOT_DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,FIRST_TOP_5,2021-08-31,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,FIRST_TOP_3,2021-11-30,ABOVE_200,NORMAL,NORMAL,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,FIRST_RANK_1_SELECTION,2021-11-30,ABOVE_200,NORMAL,NORMAL,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,FINAL_EXIT_OR_CUTOFF,2026-08-21,ABOVE_200,LOW,HIGH,MEDIUM,NORMAL,DOMINANT,E1_E2_MECHANISM_DIAGNOSTIC,NO,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
