episode_id,family,attribution_first_date,attribution_last_date,market_pnl_contribution,transaction_cost_allocation,net_portfolio_pnl_contribution,excess_pnl_contribution_vs_global,excess_pnl_contribution_vs_equal_pool,entry_signal_date,entry_execution_date,exit_execution_or_cutoff_date,exit_reason,next_family,xlon_sessions_held_including_endpoints,calendar_days_held,gross_economic_return,global_benchmark_return,gross_excess_vs_global,maximum_favourable_excursion,maximum_adverse_excursion,pre_entry_move_63,held_move,post_exit_move_63,capture_ratio,entry_timing_classification,exit_timing_classification,final_21_session_return_before_exit,entry_RS63,entry_RS126,entry_RS252,entry_composite_score,entry_rotation_state,warning,share_of_total_net_portfolio_gain
EP-019,GLOBAL_SILVER_MINERS,2025-09-01,2026-04-01,1.0692558825132064,0.006643804275113221,1.062612078238093,0.9777554889709543,0.7848703900766907,2025-08-29,2025-09-01,2026-04-01,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_OIL_GAS,150,212,0.6494795449043804,0.06103752759381864,0.5884420173105618,1.0213023480997343,0.0,0.3343885263905946,0.6494795449043804,-0.13604343997651913,0.6343502337650181,MID_TREND,LATE,-0.11264487563484926,0.17793914162242763,0.5020283711342479,0.573124051290721,0.96,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.5286123016515655
EP-021,GLOBAL_SEMICONDUCTORS,2026-05-01,2026-08-21,0.3786687803923985,0.010592317235558988,0.3680764631568395,0.18733010605959632,0.251126763630772,2026-04-30,2026-05-01,2026-08-21,PANEL_CUTOFF,NOT_APPLICABLE,79,112,0.1440075198865256,0.06413908260485135,0.07986843728167425,0.3988584745957655,0.0,0.2575585789871506,0.1440075198865256,0.0,0.3699034605711643,MID_TREND,LATE,-0.06743341404358338,0.19818597393801562,0.35089844931751535,0.9150691272306448,0.9866666666666666,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.18310515225435686
EP-004,GLOBAL_OIL_GAS,2022-02-01,2022-09-01,0.30674813821848734,0.0035480270908812084,0.30320011112760614,0.3277969849502572,0.32915244107113556,2022-01-31,2022-02-01,2022-09-01,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_INFRASTRUCTURE,147,212,0.350377595972307,-0.0020641473483646866,0.3524417433206717,0.47388294524858243,-0.01982378854625544,0.12795031055900608,0.350377595972307,0.061516952114645695,0.625168422492917,EARLY,EARLY,0.12034982378279535,0.147742033468359,0.44392383788435064,0.6270111108153316,1.0,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.15083143875978267
EP-018,EUROPE_BANKS,2025-07-01,2025-09-01,0.20705767968689393,0.005838929273459483,0.20121875041343446,0.11815612999793591,0.1466305202493134,2025-06-30,2025-07-01,2025-09-01,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_SILVER_MINERS,44,62,0.1432019934589619,0.05508326540118769,0.08811872805777421,0.20113689456470896,0.0,0.1002398903358479,0.1432019934589619,0.09209181935835442,0.4215795902359204,EARLY,EARLY,0.024279634410101947,0.058405723739923365,0.49110929705995976,0.41251541568899697,0.8876262626262625,WEAKENING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.10009928267318692
EP-008,GLOBAL_SEMICONDUCTORS,2023-04-03,2023-10-02,0.1685249396107591,0.005212232136554208,0.1633127074742049,0.09806911924334112,0.21182721270714155,2023-03-31,2023-04-03,2023-10-02,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_URANIUM_NUCLEAR,125,182,0.1306530798391521,0.04751450525325285,0.08313857458589924,0.17651477215823874,-0.08482724086129156,0.22899870761277596,0.1306530798391521,0.14809023899932994,0.26289167817372794,MID_TREND,EARLY,-0.021848372296263685,0.20652272359495294,0.20920172199023668,0.0144146044797413,0.8795853269537479,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.081242353587802
EP-007,EUROPE_BANKS,2022-12-01,2023-04-03,0.1504510348457868,0.004628943772260102,0.14582209107352673,0.12454635733413966,0.1598266509880044,2022-11-30,2022-12-01,2023-04-03,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_SEMICONDUCTORS,85,123,0.13144110259389885,0.015122572429162373,0.11631853016473648,0.3216842561964146,-0.006667936749857106,0.1625048446929851,0.13144110259389885,0.02622480816257622,0.4117008342753778,MID_TREND,APPROPRIATELY,-0.13330409997807524,0.2427462171635275,0.05219619320488733,0.1276506193488387,0.8994708994708994,WEAKENING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.07254138436091592
EP-011,GLOBAL_SEMICONDUCTORS,2024-02-01,2024-05-01,0.12435963773457925,0.005660664609811573,0.11869897312476768,0.051649638064390685,0.016290464537839514,2024-01-31,2024-02-01,2024-05-01,REPLACED_BY_HIGHER_FROZEN_RANK,EUROPE_BANKS,63,90,0.08873162765378328,0.04840271055179102,0.04032891710199227,0.2190165124296859,0.0,0.26879244848624384,0.08873162765378328,0.1232720463942858,0.193509123074085,MID_TREND,EARLY,-0.07471663196854028,0.15719535498473713,0.12418209706053074,0.3372535505119205,0.9848484848484849,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.05904858289508517
EP-017,GLOBAL_GOLD_MINERS,2025-04-01,2025-07-01,0.09302673968921571,0.005488777424400221,0.08753796226481549,0.009670418869913225,-0.10860484723689295,2025-03-31,2025-04-01,2025-07-01,REPLACED_BY_HIGHER_FROZEN_RANK,EUROPE_BANKS,62,91,0.06846617238183494,0.04363150218765299,0.02483467019418195,0.1376274328081557,-0.10090361445783125,0.3235203925176322,0.06846617238183494,0.5066681123278756,0.08754943092147277,MID_TREND,EARLY,-0.0449414932173553,0.46410124166182287,0.2366105278506847,0.45268138661502455,0.9710144927536231,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.04354707109241398
EP-006,GLOBAL_OIL_GAS,2022-10-03,2022-12-01,0.06637744197689255,0.004380957835695313,0.06199648414119724,0.01357369434610197,-0.009597257681221015,2022-09-30,2022-10-03,2022-12-01,REPLACED_BY_HIGHER_FROZEN_RANK,EUROPE_BANKS,44,59,0.061297220242338524,0.04317502490866798,0.018122195333670543,0.18460441910192538,0.0,0.13679945982444197,0.061297220242338524,-0.0782404298186703,0.3169375140556942,LATE,LATE,-0.06411062225015718,0.094502435629783,0.20633167678998499,0.620904836193445,0.9833333333333332,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.030841080058606304
EP-009,GLOBAL_URANIUM_NUCLEAR,2023-10-02,2024-01-02,0.05897608047343361,0.005865482966451028,0.05311059750698258,-0.045685412653763594,-0.07729162600359701,2023-09-29,2023-10-02,2024-01-02,REPLACED_BY_HIGHER_FROZEN_RANK,GLOBAL_AI,64,92,0.04060244744273622,0.06811377245508932,-0.027511325012353094,0.05723250705993177,-0.07969877627863153,0.4228692778700278,0.04060244744273622,0.07260885297310304,0.08604080747934166,LATE,EARLY,0.03767209011264039,0.4924383441591138,0.5196902677347239,0.20045012607066193,0.9696969696969696,LEADING,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED",0.02642066259665212
