family,total_days_held,market_pnl_contribution,transaction_cost_allocation,net_portfolio_pnl_contribution,excess_pnl_contribution_vs_global,excess_pnl_contribution_vs_equal_pool,selection_episode_count,share_of_total_net_portfolio_gain,share_of_total_excess_pnl_vs_global,share_of_total_excess_pnl_vs_equal_pool,warning
GLOBAL_SILVER_MINERS,150,1.0692558825132064,0.006643804275113221,1.062612078238093,0.9777554889709543,0.7848703900766907,1,0.5286123016515655,0.9286402766530649,0.7365339369741247,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
EUROPE_BANKS,193,0.4175030683443961,0.02194112058847937,0.39556194775591674,0.28206685403852816,0.3374783672631033,4,0.19677821844048335,0.26789789914110085,0.3166946716636941,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SEMICONDUCTORS,333,0.39177722612341626,0.03173135285638908,0.3600458732670272,0.09769088686076999,0.24671525348876328,5,0.1791102149745998,0.09278361842422106,0.23152122855073237,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_OIL_GAS,256,0.3613596786443306,0.022715094537813584,0.33864458410651704,0.09014948524408901,0.1477468713768787,4,0.16846382298157264,0.08562104111050318,0.13864784074755207,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_GOLD_MINERS,149,0.11472535885061674,0.011046720126028189,0.10367863872458856,-0.11060894102916997,-0.19523388882655413,2,0.051576492466732425,-0.10505276498701638,-0.1832103575141113,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_URANIUM_NUCLEAR,64,0.05897608047343361,0.005865482966451028,0.05311059750698258,-0.045685412653763594,-0.07729162600359701,1,0.02642066259665212,-0.04339051503607643,-0.07253160052323855,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_CYBERSECURITY,22,-0.03299978420713234,0.0,-0.03299978420713234,-0.0034613908281937783,-0.02382797803567458,1,-0.016416237158400356,-0.003287516124998957,-0.022360525628994012,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_SOFTWARE,63,-0.06555708634701296,0.005622505407467061,-0.07117959175448002,-0.06426165658263014,-0.0446735598150698,1,-0.03540935455047948,-0.06103362570726582,-0.04192232667361468,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_INFRASTRUCTURE,22,-0.09020659738868853,0.004760827535391633,-0.09496742492408015,-0.04786326496058245,-0.05811847670617398,1,-0.047242968623392625,-0.04545896813250682,-0.05453923475843525,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
GLOBAL_AI,23,-0.09823726131036747,0.006077925356478958,-0.10431518666684643,-0.12289266492203725,-0.05203843370973078,1,-0.05189315277933345,-0.11671944534102562,-0.04883363283770959,"HISTORICAL UK RETAIL, ACCOUNT AND BROKER ELIGIBILITY REMAIN UNRESOLVED"
