calendar_month,expected_final_valid_xlon_signal_date,expected_next_eligible_execution_date,weekly_telemetry_dates,status,completed_signal_event_id,completed_execution_event_id,calendar_policy
2026-08,2026-08-28,2026-09-01,2026-08-28,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2026-09,2026-09-30,2026-10-01,2026-09-04;2026-09-11;2026-09-18;2026-09-25,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2026-10,2026-10-30,2026-11-02,2026-10-02;2026-10-09;2026-10-16;2026-10-23;2026-10-30,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2026-11,2026-11-30,2026-12-01,2026-11-06;2026-11-13;2026-11-20;2026-11-27,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2026-12,2026-12-31,2027-01-04,2026-12-04;2026-12-11;2026-12-18;2026-12-24;2026-12-31,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-01,2027-01-29,2027-02-01,2027-01-08;2027-01-15;2027-01-22;2027-01-29,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-02,2027-02-26,2027-03-01,2027-02-05;2027-02-12;2027-02-19;2027-02-26,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-03,2027-03-31,2027-04-01,2027-03-05;2027-03-12;2027-03-19;2027-03-25,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-04,2027-04-30,2027-05-04,2027-04-02;2027-04-09;2027-04-16;2027-04-23;2027-04-30,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-05,2027-05-28,2027-06-01,2027-05-07;2027-05-14;2027-05-21;2027-05-28,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-06,2027-06-30,2027-07-01,2027-06-04;2027-06-11;2027-06-18;2027-06-25,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-07,2027-07-30,2027-08-02,2027-07-02;2027-07-09;2027-07-16;2027-07-23;2027-07-30,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-08,2027-08-31,2027-09-01,2027-08-06;2027-08-13;2027-08-20;2027-08-27,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-09,2027-09-30,2027-10-01,2027-09-03;2027-09-10;2027-09-17;2027-09-24,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-10,2027-10-29,2027-11-01,2027-10-01;2027-10-08;2027-10-15;2027-10-22;2027-10-29,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-11,2027-11-30,2027-12-01,2027-11-05;2027-11-12;2027-11-19;2027-11-26,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2027-12,2027-12-31,2028-01-04,2027-12-03;2027-12-10;2027-12-17;2027-12-24;2027-12-31,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-01,2028-01-31,2028-02-01,2028-01-07;2028-01-14;2028-01-21;2028-01-28,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-02,2028-02-29,2028-03-01,2028-02-04;2028-02-11;2028-02-18;2028-02-25,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-03,2028-03-31,2028-04-03,2028-03-03;2028-03-10;2028-03-17;2028-03-24;2028-03-31,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-04,2028-04-28,2028-05-02,2028-04-07;2028-04-13;2028-04-21;2028-04-28,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-05,2028-05-31,2028-06-01,2028-05-05;2028-05-12;2028-05-19;2028-05-26,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-06,2028-06-30,2028-07-03,2028-06-02;2028-06-09;2028-06-16;2028-06-23;2028-06-30,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-07,2028-07-31,2028-08-01,2028-07-07;2028-07-14;2028-07-21;2028-07-28,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-08,2028-08-31,2028-09-01,2028-08-04;2028-08-11;2028-08-18;2028-08-25,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-09,2028-09-29,2028-10-02,2028-09-01;2028-09-08;2028-09-15;2028-09-22;2028-09-29,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-10,2028-10-31,2028-11-01,2028-10-06;2028-10-13;2028-10-20;2028-10-27,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-11,2028-11-30,2028-12-01,2028-11-03;2028-11-10;2028-11-17;2028-11-24,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2028-12,2028-12-29,2029-01-02,2028-12-01;2028-12-08;2028-12-15;2028-12-22;2028-12-29,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
2029-01,2029-01-31,2029-02-01,2029-01-05;2029-01-12;2029-01-19;2029-01-26,UPCOMING,,,A2R2_DETERMINISTIC_XLON_RULES_KNOWN_HOLIDAYS
